22853.4693111878	1.73736287934508	8338	0	1	-2	8338	-2
23816.2963705520	2.75395850312412	11494	0	1	-2	11494	-2
23866.4464001285	2.43621829123063	11494	1	2	1	19107	11494
27768.4148971961	3.19817715566131	4439	0	1	-2	4439	-2
28080.2507575973	1.79725282593766	4439	1	4	1	16988	4439
29922.7174126169	1.77645594254070	4439	1	3	1	16987	4439
40775.7865381888	1.58070691573501	4575	0	1	-2	4575	-2
53864.7974990277	1.97115919112531	9820	0	1	-2	9820	-2
59866.8931255891	1.51122748819178	13904	0	1	-2	13904	-2
60286.7287663061	2.39411547373294	2104	0	1	-2	2104	-2
69377.1884913379	1.53817182289401	4439	1	2	1	16986	4439
78063.2075270718	1.65653190536021	15287	0	1	-2	15287	-2
90927.6609755319	1.61247309013456	585	0	1	-2	585	-2
97796.9852375491	1.95047005039885	10664	0	1	-2	10664	-2
136920.918793581	1.58141988985143	1164	0	1	-2	1164	-2
175814.065875791	1.85078002814825	15242	0	1	-2	15242	-2
188437.685818143	1.54272232870801	934	0	1	-2	934	-2
189864.755970706	1.79073499987791	13587	0	1	-2	13587	-2
199065.052226693	1.66865925085727	14721	0	1	-2	14721	-2
207759.050017833	1.50215007276607	8017	0	1	-2	8017	-2
211981.380069047	2.56558386345765	4067	0	1	-2	4067	-2
213433.962986328	1.73047303469556	4067	1	2	1	16818	4067
220232.102683820	1.50133713171753	7594	0	1	-2	7594	-2
225092.018699049	1.97224380557260	5058	0	1	-2	5058	-2
246048.939709054	1.65688893982369	11362	0	1	-2	11362	-2
252464.667078714	2.07415058446470	2715	0	1	-2	2715	-2
258295.004101739	1.55635557730176	14014	0	1	-2	14014	-2
262227.377888946	1.70240130515103	14014	1	2	1	19721	14014
269806.364776809	1.64086868972483	3099	0	1	-2	3099	-2
271027.029305865	1.67058771323745	1397	0	1	-2	1397	-2
273703.110634430	2.39029795620516	1333	0	1	-2	1333	-2
332549.906044220	1.97324797103015	15256	0	1	-2	15256	-2
333974.459460251	1.51042892807811	12084	0	1	-2	12084	-2
340497.026357918	1.55472813545331	9893	0	1	-2	9893	-2
341349.957798186	2.19279839682834	13099	0	1	-2	13099	-2
354331.254537997	1.87001222550977	414	0	1	-2	414	-2
377986.212976975	1.51539634943650	34	0	1	-2	34	-2
388994.578423764	1.57958122966571	281	0	1	-2	281	-2
389097.189416070	3.13202122525851	281	1	2	1	15920	281
390966.405298591	1.71983497140651	281	2	3	2	20171	15920
397408.243598788	2.50781688448653	6209	0	1	-2	6209	-2
400185.539535827	1.86358398231717	6446	0	1	-2	6446	-2
415433.056916195	1.54276521449188	13656	0	1	-2	13656	-2
423606.705670205	1.55413635550249	6543	0	1	-2	6543	-2
425982.312134317	1.93162216922040	12215	0	1	-2	12215	-2
427793.422564243	1.66179048740070	7747	0	1	-2	7747	-2
428672.426778838	1.74809891020434	4573	0	1	-2	4573	-2
442762.614561118	1.63482637005403	7186	0	1	-2	7186	-2
449228.115264005	1.88877214635983	11669	0	1	-2	11669	-2
467350.767259598	1.55586471890798	2190	0	1	-2	2190	-2
478857.959800017	2.26166075773505	1731	0	1	-2	1731	-2
479905.109857197	1.57693216489280	322	0	1	-2	322	-2
481167.882829904	1.55034477121319	10876	0	1	-2	10876	-2
481207.495102997	1.52481426903917	11683	0	1	-2	11683	-2
489657.158828087	1.70220794693945	3062	0	1	-2	3062	-2
520687.436373425	2.02851425645801	5237	0	1	-2	5237	-2
525959.115835893	1.77984036426153	168	0	1	-2	168	-2
527645.429282427	1.95506033477744	10380	0	1	-2	10380	-2
538106.844490883	1.74471826479353	12415	0	1	-2	12415	-2
563328.030009692	2.11580998279432	3089	0	1	-2	3089	-2
573517.260597474	1.55280847137358	1145	0	1	-2	1145	-2
581233.663849239	1.64565566733304	13512	0	1	-2	13512	-2
589163.840861763	1.79380600856174	14057	0	1	-2	14057	-2
597015.792989080	2.82337555221251	14360	0	1	-2	14360	-2
604476.409358793	1.69104641732802	9146	0	1	-2	9146	-2
604696.305483153	1.68266090516075	14360	1	2	1	19823	14360
621268.898122061	1.83877831404647	6938	0	1	-2	6938	-2
623384.270041313	1.83578896279985	9108	0	1	-2	9108	-2
626378.051479910	1.54308704322826	13577	0	1	-2	13577	-2
630806.563888753	1.90158138377848	12764	0	1	-2	12764	-2
640244.921820515	1.53002079843742	1145	1	2	1	16143	1145
658714.945239203	3.03717277247886	1220	0	1	-2	1220	-2
690453.785505614	2.36530082837150	2261	0	1	-2	2261	-2
691515.821820764	1.78797846380723	4454	0	1	-2	4454	-2
731030.190284663	1.59782169932414	1220	1	2	1	16158	1220
743229.029540915	1.71002765608936	10340	0	1	-2	10340	-2
785617.867996567	1.54206736961342	10788	0	1	-2	10788	-2
787899.779629463	1.60595856225111	3639	0	1	-2	3639	-2
793734.309595587	1.58228874899154	7682	0	1	-2	7682	-2
805492.266339436	1.75915108798916	2118	0	1	-2	2118	-2
833238.708092403	1.51934770789968	15354	0	1	-2	15354	-2
851299.133013173	1.62445603897507	1863	0	1	-2	1863	-2
857612.567932246	1.99556596776394	11270	0	1	-2	11270	-2
862499.867896529	2.04547155273976	1800	0	1	-2	1800	-2
864861.480168994	1.79906260609556	12203	0	1	-2	12203	-2
865342.411156916	1.52791701298463	5056	0	1	-2	5056	-2
865437.455153641	1.77747130480567	12203	1	2	1	19278	12203
866000.368436150	1.85003941090493	5056	1	2	1	17249	5056
926165.397877926	1.81632713858606	12680	0	1	-2	12680	-2
944782.693783610	1.98654978846869	3971	0	1	-2	3971	-2
957981.371217873	2.34088846378136	8330	0	1	-2	8330	-2
966689.098013117	2.23926264718707	9300	0	1	-2	9300	-2
968805.197234003	1.85595359188843	7926	0	1	-2	7926	-2
974728.470411891	1.82376196932073	13381	0	1	-2	13381	-2
984617.095627384	1.83198850259775	12930	0	1	-2	12930	-2
994374.826325746	1.63980176688216	10714	0	1	-2	10714	-2
1021187.23200002	2.09442286009089	6164	0	1	-2	6164	-2
1022418.08070288	1.74970543754985	6699	0	1	-2	6699	-2
1023837.12933271	2.10822979761565	8561	0	1	-2	8561	-2
1031402.16230221	1.58948456618225	5793	0	1	-2	5793	-2
1043878.64201472	2.29416297211801	3110	0	1	-2	3110	-2
1071856.85194575	1.77279087669162	12809	0	1	-2	12809	-2
1090698.92485625	1.72718597810829	1325	0	1	-2	1325	-2
1101484.52498141	1.59892030460483	1521	0	1	-2	1521	-2
1103756.92754655	1.64055021018267	2509	0	1	-2	2509	-2
1105319.98065976	1.79011342207542	4154	0	1	-2	4154	-2
1151746.61129717	1.54797840471063	12665	0	1	-2	12665	-2
1161101.60014449	2.78197442614385	10841	0	1	-2	10841	-2
